Scraped_Date,Scraped_Time,brand,brandless_name,product_id,product_name,skus,display_name,auto_delivery_price,recommended_retail_price,rrp_discount_price,single_order_price
02/15/2023, 14:55:45,Wellness,Complete Health Deboned Chicken Oatmeal And Salmon Meal Recipe Puppy Dry Dog Food,wellness-complete-health-deboned-chicken-oatmeal-and-salmon-meal-recipe-puppy-dry-dog-food,Wellness Complete Health Deboned Chicken Oatmeal And Salmon Meal Recipe Puppy Dry Dog Food,W8962AU,13.6kg,144.99,144.99,0,144.99
02/15/2023, 14:55:45,Canidae,All Life Stages Platinum Less Active Dog Food,canidae-all-life-stages-platinum-less-active-dog-food,Canidae All Life Stages Platinum Less Active Dog Food,640461040308,13.6kg,135.85,142.99,0,142.99
02/15/2023, 14:55:45,Nutrience,Infusion Chicken Flavour Large Breed Dry Dog Food,nutrience-infusion-chicken-flavour-large-breed-dry-dog-food,Nutrience Infusion Chicken Flavour Large Breed Dry Dog Food,NTE26,2.27kg,33.5,33.5,0,33.5
02/15/2023, 14:55:45,Nutrience,Infusion Chicken Flavour Large Breed Dry Dog Food,nutrience-infusion-chicken-flavour-large-breed-dry-dog-food,Nutrience Infusion Chicken Flavour Large Breed Dry Dog Food,NTE27,10kg,111.6,111.6,0,111.6
02/15/2023, 14:55:45,Zignature,Grain Free Trout And Salmon Meal Formula Dry Dog Food,zignature-grain-free-trout-and-salmon-meal-formula-dry-dog-food,Zignature Grain Free Trout And Salmon Meal Formula Dry Dog Food,Z31006,1.8kg,18.36,20.4,0,20.4
02/15/2023, 14:55:45,Zignature,Grain Free Trout And Salmon Meal Formula Dry Dog Food,zignature-grain-free-trout-and-salmon-meal-formula-dry-dog-food,Zignature Grain Free Trout And Salmon Meal Formula Dry Dog Food,Z31006VO2X,3.6kg,36.72,40.8,0,40.8
02/15/2023, 14:55:45,Zignature,Grain Free Trout And Salmon Meal Formula Dry Dog Food,zignature-grain-free-trout-and-salmon-meal-formula-dry-dog-food,Zignature Grain Free Trout And Salmon Meal Formula Dry Dog Food,Z31020,11.3kg,89.1,99.0,0,99.0
02/15/2023, 14:55:45,Zignature,Grain Free Trout And Salmon Meal Formula Dry Dog Food,zignature-grain-free-trout-and-salmon-meal-formula-dry-dog-food,Zignature Grain Free Trout And Salmon Meal Formula Dry Dog Food,Z31006MS,6 x 1.8kg,110.16,122.4,0,122.4
02/15/2023, 14:55:45,Zignature,Grain Free Kangaroo Small Bites Formula Dry Dog Food,zignature-grain-free-kangaroo-small-bites-formula-dry-dog-food,Zignature Grain Free Kangaroo Small Bites Formula Dry Dog Food,Z13192,113g,0.09,0.1,0,0.1
02/15/2023, 14:55:45,Zignature,Grain Free Kangaroo Small Bites Formula Dry Dog Food,zignature-grain-free-kangaroo-small-bites-formula-dry-dog-food,Zignature Grain Free Kangaroo Small Bites Formula Dry Dog Food,Z13192MS,24 x 113g,2.16,2.4,0,2.4
02/15/2023, 14:55:45,Zignature,Grain Free Kangaroo Small Bites Formula Dry Dog Food,zignature-grain-free-kangaroo-small-bites-formula-dry-dog-food,Zignature Grain Free Kangaroo Small Bites Formula Dry Dog Food,Z13190,1.8kg,20.97,23.3,0,23.3
02/15/2023, 14:55:45,Zignature,Grain Free Kangaroo Small Bites Formula Dry Dog Food,zignature-grain-free-kangaroo-small-bites-formula-dry-dog-food,Zignature Grain Free Kangaroo Small Bites Formula Dry Dog Food,Z13190VO2X,3.6kg,41.94,46.6,0,46.6
02/15/2023, 14:55:45,Zignature,Grain Free Kangaroo Small Bites Formula Dry Dog Food,zignature-grain-free-kangaroo-small-bites-formula-dry-dog-food,Zignature Grain Free Kangaroo Small Bites Formula Dry Dog Food,Z13191,5.66kg,59.04,65.6,0,65.6
02/15/2023, 14:55:45,Zignature,Grain Free Kangaroo Small Bites Formula Dry Dog Food,zignature-grain-free-kangaroo-small-bites-formula-dry-dog-food,Zignature Grain Free Kangaroo Small Bites Formula Dry Dog Food,Z13190MS,6 x 1.8kg,125.82,139.8,0,139.8
