Scraped_Date,Scraped_Time,product_name,handle,brand,product_id,sku,barcode,size,price,availability
02/08/2023, 16:40:42,Advance Adult Lamb &amp; Rice Dry Dog Food,advance-adult-lamb-rice-dry-dog-food,Advance,6661059346568,122711000019,9334214024325,3kg,46.60,Available
02/08/2023, 16:40:42,Advance Adult Lamb &amp; Rice Dry Dog Food,advance-adult-lamb-rice-dry-dog-food,Advance,6661059346568,122711000021,9334214024080,15kg,150.00,Available
02/08/2023, 16:40:42,Royal Canin Jack Russell Adult Dry Dog Food,royal-canin-jack-russell-adult-dry-dog-food,Royal Canin,6661000200328,100000003570,3182550821438,7.50kg,115.00,Available
02/08/2023, 16:40:42,Royal Canin Jack Russell Adult Dry Dog Food,royal-canin-jack-russell-adult-dry-dog-food,Royal Canin,6661000200328,122725000033,3182550821421,3kg,50.85,Available
02/08/2023, 16:40:42,Royal Canin Beagle Adult Dry Dog Food,royal-canin-beagle-adult-dry-dog-food,Royal Canin,6660995514504,122725000032,3182550821766,3kg,50.85,Available
02/08/2023, 16:40:42,Royal Canin Beagle Adult Dry Dog Food,royal-canin-beagle-adult-dry-dog-food,Royal Canin,6660995514504,122725000126,3182550821773,12kg,161.00,Available
02/08/2023, 16:40:42,Advance Puppy Chicken Dry Dog Food,advance-puppy-plus-chicken-dry-dog-food,Advance,6660981489800,122711000083,9334214002767,3kg,46.60,Available
02/08/2023, 16:40:42,Advance Puppy Chicken Dry Dog Food,advance-puppy-plus-chicken-dry-dog-food,Advance,6660981489800,122711000086,9334214003092,15kg,154.00,Available
02/08/2023, 16:40:42,Ivory Coat Grain Free Adult Lamb &amp; Sardine Dry Dog Food,ivory-coat-grain-free-adult-lamb-sardine-dry-dog-food,IVORY COAT,6873251610760,100000001922,9348601002643,2kg,36.75,Available
02/08/2023, 16:40:42,Ivory Coat Grain Free Adult Lamb &amp; Sardine Dry Dog Food,ivory-coat-grain-free-adult-lamb-sardine-dry-dog-food,IVORY COAT,6873251610760,100000001923,9348601002650,13kg,139.00,Available
02/08/2023, 16:40:42,Ivory Coat Grain Free Adult Lamb &amp; Kangaroo Dry Dog Food,ivory-coat-grain-free-adult-lamb-kangaroo-dry-dog-food,IVORY COAT,6873251381384,100000001906,9348601000021,2kg,36.75,Available
02/08/2023, 16:40:42,Ivory Coat Grain Free Adult Lamb &amp; Kangaroo Dry Dog Food,ivory-coat-grain-free-adult-lamb-kangaroo-dry-dog-food,IVORY COAT,6873251381384,100000001911,9348601000649,13kg,139.00,Available
02/08/2023, 16:40:42,Eukanuba Puppy Chicken Dry Dog Food,eukanuba-medium-breed-puppy-dry-dog-food,Eukanuba,6661080383624,122717000005,9334214037349,3kg,49.28,Available
02/08/2023, 16:40:42,Eukanuba Puppy Chicken Dry Dog Food,eukanuba-medium-breed-puppy-dry-dog-food,Eukanuba,6661080383624,122717000007,9334214037677,15kg,155.00,Available
02/08/2023, 16:40:42,K9 Natural Beef Feast Wet Dog Food,k9-natural-grain-free-beef-wet-dog-food,K9 Natural,6660966187144,122729000004,9421904014435,170g,5.50,Out of Stock
02/08/2023, 16:40:42,K9 Natural Beef Feast Wet Dog Food,k9-natural-grain-free-beef-wet-dog-food,K9 Natural,6660966187144,122729000025,9421904014398,370g,7.98,Out of Stock
02/08/2023, 16:40:42,Hill's Prescription Diet I/D Digestive Dry Dog Food,hills-prescription-diet-i-d-digestive-dry-dog-food,Hill's VET,6660951965832,123011000003,052742861807,3.85kg,104.00,Available
02/08/2023, 16:40:42,Hill's Prescription Diet I/D Digestive Dry Dog Food,hills-prescription-diet-i-d-digestive-dry-dog-food,Hill's VET,6660951965832,123011000005,052742861906,7.98kg,163.00,Available
02/08/2023, 16:40:42,Vets All Natural Complete Mix Adult &amp; Senior Cereal &amp; Grain Dry Dog Food,vets-all-natural-complete-mix-adult-senior-dry-dog-food,Vets All Natural,6661959712904,122726000007,9323961006609,1kg,22.47,Available
02/08/2023, 16:40:42,Vets All Natural Complete Mix Adult &amp; Senior Cereal &amp; Grain Dry Dog Food,vets-all-natural-complete-mix-adult-senior-dry-dog-food,Vets All Natural,6661959712904,122726000012,9323961006623,5kg,84.26,Available
02/08/2023, 16:40:42,Vets All Natural Complete Mix Adult &amp; Senior Cereal &amp; Grain Dry Dog Food,vets-all-natural-complete-mix-adult-senior-dry-dog-food,Vets All Natural,6661959712904,122726000023,9323961007248,15kg,297.00,Available
02/08/2023, 16:40:42,Hill's Science Diet Senior Chicken Dry Dog Food,hills-science-diet-senior-chicken-dry-dog-food,Hill's Science Diet,6661421727880,122718000009,052742693804,3kg,62.20,Available
02/08/2023, 16:40:42,Hill's Science Diet Senior Chicken Dry Dog Food,hills-science-diet-senior-chicken-dry-dog-food,Hill's Science Diet,6661421727880,122718000010,052742693903,7.50kg,128.00,Available
02/08/2023, 16:40:42,Hill's Science Diet Senior Chicken Dry Dog Food,hills-science-diet-senior-chicken-dry-dog-food,Hill's Science Diet,6661421727880,122718000168,052742005379,12kg,159.00,Available
02/08/2023, 16:40:42,Ivory Coat Holistic Nutrition Senior Salmon &amp; Brown Rice Dry Dog Food,ivory-coat-holistic-nutrition-senior-salmon-brown-rice-dry-dog-food,IVORY COAT,6873252135048,100000014507,9348601003329,2.50kg,35.98,Out of Stock
02/08/2023, 16:40:42,Ivory Coat Holistic Nutrition Senior Salmon &amp; Brown Rice Dry Dog Food,ivory-coat-holistic-nutrition-senior-salmon-brown-rice-dry-dog-food,IVORY COAT,6873252135048,100000060231,9348601004630,15kg,110.00,Out of Stock
02/08/2023, 16:40:42,Hill's Prescription Diet Gastro Biome Digest/Fibre Dry Dog Food,hills-prescription-diet-gastro-biome-digest-fiber-dry-dog-food,Hill's VET,6669817020552,100000014510,052742024530,3.6kg,94.98,Available
02/08/2023, 16:40:42,Hill's Prescription Diet Gastro Biome Digest/Fibre Dry Dog Food,hills-prescription-diet-gastro-biome-digest-fiber-dry-dog-food,Hill's VET,6669817020552,100000045359,052742036175,12.5kg,238.00,Available
02/08/2023, 16:40:42,Advance Medium Breed Adult Turkey with Rice Dry Dog Food,advance-adult-turkey-rice-dry-dog-food,Advance,6661644910728,122711000012,9334214028132,3kg,46.60,Available
02/08/2023, 16:40:42,Advance Medium Breed Adult Turkey with Rice Dry Dog Food,advance-adult-turkey-rice-dry-dog-food,Advance,6661644910728,122711000036,9310022528903,15kg,150.00,Available
02/08/2023, 16:40:42,Royal Canin VET Renal Dry Dog Food,royal-canin-veterinary-diet-renal-adult-dry-dog-food,Royal Canin VET,6661094310024,123012000017,3182550710992,2kg,52.98,Available
02/08/2023, 16:40:42,Royal Canin VET Renal Dry Dog Food,royal-canin-veterinary-diet-renal-adult-dry-dog-food,Royal Canin VET,6661094310024,123012000133,3182550711395,7kg,145.00,Available
02/08/2023, 16:40:42,Royal Canin Dermacomfort Medium Adult Dry Dog Food,royal-canin-dermacomfort-adult-dry-dog-food,Royal Canin,6661001871496,100000081070,3182550928526,12kg,168.00,Out of Stock
02/08/2023, 16:40:42,Royal Canin Dermacomfort Medium Adult Dry Dog Food,royal-canin-dermacomfort-adult-dry-dog-food,Royal Canin,6661001871496,122725000017,3182550773829,3kg,52.50,Out of Stock
02/08/2023, 16:40:42,Royal Canin Dermacomfort Medium Adult Dry Dog Food,royal-canin-dermacomfort-adult-dry-dog-food,Royal Canin,6661001871496,122725000018,3182550773836,10kg,146.00,Out of Stock
02/08/2023, 16:40:42,Eukanuba Senior Chicken Dry Dog Food,eukanuba-medium-breed-senior-adult-dry-dog-food,Eukanuba,6660970119304,122717000030,9334214037424,3kg,43.79,Available
02/08/2023, 16:40:42,Eukanuba Senior Chicken Dry Dog Food,eukanuba-medium-breed-senior-adult-dry-dog-food,Eukanuba,6660970119304,122717000031,9334214037608,15kg,145.00,Available
02/08/2023, 16:40:42,K9 Natural Lamb &amp; Salmon Feast Freeze Dired Dog Food Topper,k9-natural-freeze-dried-adult-lamb-salmon-feast-dry-dog-food,K9 Natural,6660839211144,100000019327,9421904518780,500g,44.94,Available
02/08/2023, 16:40:42,K9 Natural Lamb &amp; Salmon Feast Freeze Dired Dog Food Topper,k9-natural-freeze-dried-adult-lamb-salmon-feast-dry-dog-food,K9 Natural,6660839211144,100000019328,9421904518827,1.8kg,130.00,Available
02/08/2023, 16:40:42,Hill's Science Diet Perfect Digestion Adult Dry Dog Food,hills-science-diet-perfect-digestion-adult-dry-dog-food,Hill's Science Diet,6669816496264,100000052929,052742050904,1.6kg,44.40,Available
02/08/2023, 16:40:42,Hill's Science Diet Perfect Digestion Adult Dry Dog Food,hills-science-diet-perfect-digestion-adult-dry-dog-food,Hill's Science Diet,6669816496264,100000052930,052742050928,9.98kg,166.00,Available
02/08/2023, 16:40:42,Hill's Science Diet Small &amp; Mini Breed Perfect Weight Adult Chicken Dry Dog Food,hills-science-diet-small-mini-breed-perfect-weight-adult-chicken-dry-dog-food,Hill's Science Diet,6661718278280,122718000139,052742382104,1.81kg,45.98,Available
02/08/2023, 16:40:42,Hill's Science Diet Small &amp; Mini Breed Perfect Weight Adult Chicken Dry Dog Food,hills-science-diet-small-mini-breed-perfect-weight-adult-chicken-dry-dog-food,Hill's Science Diet,6661718278280,122718000140,052742382203,6.80kg,118.00,Available
02/08/2023, 16:40:42,Ivory Coat Grain Free Fat Reduced Senior Turkey Dry Dog Food,ivory-coat-grain-free-senior-turkey-dry-dog-food,IVORY COAT,6873252495496,100000001909,9348601000083,2kg,42.98,Available
02/08/2023, 16:40:42,Ivory Coat Grain Free Fat Reduced Senior Turkey Dry Dog Food,ivory-coat-grain-free-senior-turkey-dry-dog-food,IVORY COAT,6873252495496,100000001912,9348601000717,13kg,149.00,Available
02/08/2023, 16:40:42,Prime100 SPD Air Dried Chicken and Brown Rice Dry Dog Food,prime100-spd-air-chicken-and-brown-rice-dry-dog-food,SPD Air,6835888554120,100000060291,9340710001869,2.2kg,130.00,Available
